,Ticker,Name,Exchange
3970,ZARISK=X,ZAR/ISK,CCY
3971,ZARINR=X,ZAR/INR,CCY
3972,ZMWEUR=X,ZMW/EUR,CCY
3973,ZARILS=X,ZAR/ILS,CCY
3974,ZAREGP=X,ZAR/EGP,CCY
3975,ZARPHP=X,ZAR/PHP,CCY
3976,ZARLVL=X,ZAR/LVL,CCY
3977,29134374=X,,
3978,ZMWCHF=X,ZMW/CHF,CCY
3979,ZARXDR=X,ZAR/XDR,CCY
3980,ZARCNY=X,ZAR/CNY,CCY
3981,ZMWDKK=X,ZMW/DKK,CCY
3982,ZARSZL=X,ZAR/SZL,CCY
3983,ZARBRL=X,ZAR/BRL,CCY
3984,ZARPKR=X,ZAR/PKR,CCY
3985,ZARIDR=X,ZAR/IDR,CCY
3986,ZARLKR=X,ZAR/LKR,CCY
3987,ZARTRY=X,ZAR/TRY,CCY
3988,ZARBWP=X,ZAR/BWP,CCY
3989,ZARNGN=X,ZAR/NGN,CCY
3990,ZARLTL=X,ZAR/LTL,CCY
3991,ZMWUSD=X,ZMW/USD,CCY
3992,ZARRUB=X,ZAR/RUB,CCY
3993,ZMWJPY=X,ZMW/JPY,CCY
3994,ZARGHS=X,ZAR/GHS,CCY
3995,ZARDKK=X,ZAR/DKK,CCY
3996,ZARSCR=X,ZAR/SCR,CCY
3997,ZARCZK=X,ZAR/CZK,CCY
3998,ZARSAR=X,ZAR/SAR,CCY
3999,ZARKWD=X,ZAR/KWD,CCY
4000,ZARUGX=X,ZAR/UGX,CCY
4001,ZMWGBP=X,ZMW/GBP,CCY
4002,ZARHUF=X,ZAR/HUF,CCY
4003,ZARKES=X,ZAR/KES,CCY
4004,ZARTND=X,ZAR/TND,CCY
4005,ZARCLP=X,ZAR/CLP,CCY
4006,ZARMXN=X,ZAR/MXN,CCY
4007,ZARAED=X,ZAR/AED,CCY
4008,ZARMAD=X,ZAR/MAD,CCY
4009,ZAROMR=X,ZAR/OMR,CCY
4010,ZARTHB=X,ZAR/THB,CCY
4011,ZARQAR=X,ZAR/QAR,CCY
4012,ZARUAH=X,ZAR/UAH,CCY
4013,29134373=X,,
4014,ZARJOD=X,ZAR/JOD,CCY
