,Ticker,Name,Exchange
377,^NQEMASIA2300LMT,NASDAQ EM Asia Constr & Matls L,NIM
378,^RAPJUSD,Russell Asia Pacific ex-Japan,WCB
379,^NQUSL8675AUDT,NQ US Lg Cap Specialty REITs AU,NIM
380,NLRE.AS,,
381,SBD12D.SW,SBI Dom AAA-AA D,EBS
382,WIXEBS0580.FGI,,
383,FCAG.EX,,
384,^NQASPA5000LMGBPN,NASDAQ ASPA Cnsmr Svcs Large Mi,NIM
385,^NQZA3000,The NASDAQ South Africa Consume,NIM
386,^NQATMCCADN,NASDAQ Austria Mid Cap CAD NTR,NIM
387,^SPBDAGTT,S&P/ASX Australian Government B,SNP
388,^NQNA3000,The NASDAQ North America Consum,NIM
389,^SIXYTR,Syntax Consumer Products and Se,NYS
390,^NQUSL9578AUD,NQ US Lg Cap Telecom Eqpt AUD I,NIM
391,NLRIS.NX,,
392,4Q88.DE,INAVISHUKG0-5YRUUSD,GER
393,ALASN.NX,,
394,^NQMY7000AUDT,NASDAQ Malaysia Utilities AUD T,NIM
395,^DWCALU,Dow Jones U.S. Aluminum Total S,DJI
396,AL83.DE,INAV MSCI SCAPEUR,GER
397,DT5Y.DE,INAVDBXES50FU EUR,GER
398,^NQEMEU5000AUDN,NASDAQ EM Europe Cnsmr Svcs AUD,NIM
399,^NQJP4000AUDT,NASDAQ Japan Health Care AUD TR,NIM
400,^NQNA5000EURN,NASDAQ N America Cnsmr Svcs EUR,NIM
401,WIAUS5330.L,,
402,^NQBR8000AUDN,NASDAQ Brazil Financials AUD NT,NIM
403,^NQDMASPA4000EUR,NASDAQ DM ASPA Health Care EUR,NIM
404,^NQSGAUDT,NASDAQ Singapore AUD TR Index,NIM
405,^NQUSS5555AUDT,NQ US Sm Cap Media Agncs AUD TR,NIM
406,^NQUSB5555GBPT,NQ US Bnchmk Media Agncs GBP TR,NIM
407,^NQCASCAUD,NASDAQ Canada Small Cap AUD Ind,NIM
408,SFC14Y.SW,SBI For Corp AAA-BBB Y,EBS
409,ST171Y.SW,SBI AAA 7-10 Y,EBS
410,^NQAULCGBPT,NASDAQ Australia Large Cap GBP,NIM
411,^NQUSL2795GBP,NQ US Lg Cap Financial Admin GB,NIM
412,^NQUSS2700AUDN,NQ US Sm Cap Ind Goods & Svcs A,NIM
413,DF28.DE,INAVISHFIGOVBDUCHF,GER
414,^B50ADRT,Dow Jones BRIC 50 All DR Total,DJI
415,SDA15D.SW,SBI Dom AAA-A 1-5 D,EBS
416,4N9U.DE,DAXSUB ALL RETI P,GER
417,^NQKRSCAUDT,NASDAQ Korea Small Cap AUD TR I,NIM
418,^NQUSS5751AUDN,NQ US Sm Cap Airlines AUD NTR I,NIM
419,D1A8.DE,DAXPLUS PROTECTIVE PUT PR,GER
420,^NQDMEU9000AUDT,NASDAQ DM Europe Tech AUD TR In,NIM
421,^FIRSTNORTHNOK,First North All-Share NOK,NIM
422,539M.DE,,
423,^NQZASCGBP,NASDAQ South Africa Small Cap G,NIM
424,^NQLA4000CAD,NASDAQ Lat America Health Care,NIM
425,^NQPHAUD,NASDAQ Philippines AUD Index,NIM
426,31651230.SG,,
427,^NQNAEUR,NASDAQ N America EUR Index,NIM
428,^NQGBAUDT,NASDAQ UK AUD TR Index,NIM
429,^RAESGDN,Russell Australia ESG High Divi,WCB
